table,panel,window,series,field,observed,expected,match
T1,Painel A,5Y,Portfólio A (TR),mult_5Y,"2,38","2,38",True
T1,Painel A,10Y,Portfólio A (TR),mult_10Y,"8,65","8,65",True
T1,Painel A,15Y,Portfólio A (TR),mult_15Y,"5,89","5,89",True
T1,Painel A,20Y,Portfólio A (TR),mult_20Y,"10,09","10,09",True
T1,Painel A,25Y,Portfólio A (TR),mult_25Y,"51,35","51,35",True
T1,Painel A,5Y,Portfólio A (TR),cagr_5Y,"19,17","19,17",True
T1,Painel A,10Y,Portfólio A (TR),cagr_10Y,"24,44","24,44",True
T1,Painel A,15Y,Portfólio A (TR),cagr_15Y,"12,76","12,76",True
T1,Painel A,20Y,Portfólio A (TR),cagr_20Y,"12,48","12,48",True
T1,Painel A,25Y,Portfólio A (TR),cagr_25Y,"17,37","17,37",True
T1,Painel A,5Y,Portfólio B (TR),mult_5Y,"2,54","2,54",True
T1,Painel A,10Y,Portfólio B (TR),mult_10Y,"10,10","10,10",True
T1,Painel A,15Y,Portfólio B (TR),mult_15Y,"7,28","7,28",True
T1,Painel A,20Y,Portfólio B (TR),mult_20Y,"14,83","14,83",True
T1,Painel A,25Y,Portfólio B (TR),mult_25Y,"48,43","48,43",True
T1,Painel A,5Y,Portfólio B (TR),cagr_5Y,"20,73","20,73",True
T1,Painel A,10Y,Portfólio B (TR),cagr_10Y,"26,40","26,40",True
T1,Painel A,15Y,Portfólio B (TR),cagr_15Y,"14,39","14,39",True
T1,Painel A,20Y,Portfólio B (TR),cagr_20Y,"14,71","14,71",True
T1,Painel A,25Y,Portfólio B (TR),cagr_25Y,"17,09","17,09",True
T1,Painel A,5Y,Portfólio C (TR),mult_5Y,"2,44","2,44",True
T1,Painel A,10Y,Portfólio C (TR),mult_10Y,"9,98","9,98",True
T1,Painel A,15Y,Portfólio C (TR),mult_15Y,"5,81","5,81",True
T1,Painel A,20Y,Portfólio C (TR),mult_20Y,"10,76","10,76",True
T1,Painel A,25Y,Portfólio C (TR),mult_25Y,"53,10","53,10",True
T1,Painel A,5Y,Portfólio C (TR),cagr_5Y,"19,74","19,74",True
T1,Painel A,10Y,Portfólio C (TR),cagr_10Y,"26,25","26,25",True
T1,Painel A,15Y,Portfólio C (TR),cagr_15Y,"12,66","12,66",True
T1,Painel A,20Y,Portfólio C (TR),cagr_20Y,"12,85","12,85",True
T1,Painel A,25Y,Portfólio C (TR),cagr_25Y,"17,53","17,53",True
T1,Painel A,5Y,CDI (TR),mult_5Y,"1,70","1,70",True
T1,Painel A,10Y,CDI (TR),mult_10Y,"2,45","2,45",True
T1,Painel A,15Y,CDI (TR),mult_15Y,"4,02","4,02",True
T1,Painel A,20Y,CDI (TR),mult_20Y,"6,96","6,96",True
T1,Painel A,25Y,CDI (TR),mult_25Y,"16,59","16,59",True
T1,Painel A,5Y,CDI (TR),cagr_5Y,"11,27","11,27",True
T1,Painel A,10Y,CDI (TR),cagr_10Y,"9,38","9,38",True
T1,Painel A,15Y,CDI (TR),cagr_15Y,"9,75","9,75",True
T1,Painel A,20Y,CDI (TR),cagr_20Y,"10,22","10,22",True
T1,Painel A,25Y,CDI (TR),cagr_25Y,"11,93","11,93",True
T1,Painel A,5Y,Ibovespa (TR),mult_5Y,"1,57","1,57",True
T1,Painel A,10Y,Ibovespa (TR),mult_10Y,"4,60","4,60",True
T1,Painel A,15Y,Ibovespa (TR),mult_15Y,"2,88","2,88",True
T1,Painel A,20Y,Ibovespa (TR),mult_20Y,"5,03","5,03",True
T1,Painel A,25Y,Ibovespa (TR),mult_25Y,"10,99","10,99",True
T1,Painel A,5Y,Ibovespa (TR),cagr_5Y,"9,53","9,53",True
T1,Painel A,10Y,Ibovespa (TR),cagr_10Y,"16,74","16,74",True
T1,Painel A,15Y,Ibovespa (TR),cagr_15Y,"7,42","7,42",True
T1,Painel A,20Y,Ibovespa (TR),cagr_20Y,"8,56","8,56",True
T1,Painel A,25Y,Ibovespa (TR),cagr_25Y,"10,24","10,24",True
T1,Painel A,5Y,S&P 500 em BRL (PR),mult_5Y,"1,71","1,71",True
T1,Painel A,10Y,S&P 500 em BRL (PR),mult_10Y,"4,95","4,95",True
T1,Painel A,15Y,S&P 500 em BRL (PR),mult_15Y,"16,38","16,38",True
T1,Painel A,20Y,S&P 500 em BRL (PR),mult_20Y,"13,21","13,21",True
T1,Painel A,25Y,S&P 500 em BRL (PR),mult_25Y,"13,70","13,70",True
