bundle_version,cut,window,excess_pp_PA,amplitude_PA,excess_pp_PB,amplitude_PB,excess_pp_PC,amplitude_PC
v13b2,D0,10Y,15.06,8.360000000000001,17.020000000000003,7.610000000000001,16.87,7.970000000000001
v13b2,D0,15Y,3.009999999999999,1.529999999999998,4.64,2.6399999999999992,2.909999999999999,0.8799999999999977
v13b2,D0,20Y,2.2599999999999993,0.6899999999999991,4.490000000000001,0.7200000000000002,2.6300000000000003,0.8099999999999996
v13b2,D0,25Y,5.440000000000002,0.32000000000000295,5.159999999999999,0.8999999999999995,5.6000000000000005,0.4900000000000029
v13b2,D0,5Y,7.900000000000001,4.710000000000003,9.46,9.530000000000001,8.469999999999999,4.559999999999999
v13b2,D12M,10Y,7.350000000000001,8.360000000000001,9.410000000000002,7.610000000000001,9.28,7.970000000000001
v13b2,D12M,15Y,1.4800000000000009,1.529999999999998,2.0000000000000004,2.6399999999999992,2.2500000000000004,0.8799999999999977
v13b2,D12M,20Y,2.9499999999999984,0.6899999999999991,3.8699999999999997,0.7200000000000002,3.44,0.8099999999999996
v13b2,D12M,25Y,5.340000000000003,0.32000000000000295,4.26,0.8999999999999995,5.42,0.4900000000000029
v13b2,D12M,5Y,3.1899999999999986,4.710000000000003,-0.07000000000000062,9.530000000000001,3.9099999999999997,4.559999999999999
v13b2,D6M,10Y,6.699999999999999,8.360000000000001,9.48,7.610000000000001,8.9,7.970000000000001
v13b2,D6M,15Y,1.6900000000000013,1.529999999999998,2.690000000000002,2.6399999999999992,2.030000000000001,0.8799999999999977
v13b2,D6M,20Y,2.629999999999999,0.6899999999999991,4.59,0.7200000000000002,3.35,0.8099999999999996
v13b2,D6M,25Y,5.119999999999999,0.32000000000000295,4.310000000000002,0.8999999999999995,5.109999999999998,0.4900000000000029
v13b2,D6M,5Y,6.710000000000001,4.710000000000003,4.260000000000002,9.530000000000001,8.3,4.559999999999999
