cut,window,max_total_return_abs_diff,max_cagr_abs_diff,max_total_return_abs_diff_series
D0,10Y,0.005064226332264887,0.0039463608914585,PA
D0,15Y,0.009290438377568933,0.0024324977507315937,SP500_PR
D0,20Y,0.00672850571092809,0.0027606015793975036,SP500_TR
D0,25Y,0.030903445657045836,0.0030431451751160854,PA
D0,5Y,0.0010549176597887122,0.002054787430249644,PB
D12M,10Y,0.0025323964076280348,0.00326013963882138,SP500_PR
D12M,15Y,0.008889945267299026,0.0019646904786499025,SP500_PR
D12M,20Y,0.0058123425715006505,0.0025605385852134344,SP500_TR
D12M,25Y,0.02456921563416614,0.003185290251553341,PA
D12M,5Y,0.0010087595127568072,0.0014132071575662097,SP500_TR
D6M,10Y,0.0021023376366380297,0.003087991389393613,SP500_PR
D6M,15Y,0.010052206794949115,0.0020365556932309126,SP500_PR
D6M,20Y,0.0079941912532,0.002746401798407766,SP500_TR
D6M,25Y,0.033586468311902706,0.0031032209725156135,PA
D6M,5Y,0.0004595822405009109,0.002048162624179145,SP500_TR
