bundle_version,cut,window,series,series_label,start_date,end_date,total_return,cagr,years,pdf_md5,report_id
v13b1,D0,5Y,PA,Portfólio A (TR),2021-02-10,2026-02-10,1.3831,0.1917,4.999315537303217,b706815c50934790953b6b7c2593a21d,REL_IND_D0_PA_5Y
v13b1,D0,5Y,PB,Portfólio B (TR),2021-02-10,2026-02-10,1.5418,0.2073,4.999315537303217,d76de080aaecee57b6f1439c7c057e7c,REL_IND_D0_PB_5Y
v13b1,D0,5Y,PC,Portfólio C (TR),2021-02-10,2026-02-10,1.4403,0.1974,4.999315537303217,36b080a4c2e53e43e180613566382947,REL_IND_D0_PC_5Y
v13b1,D0,5Y,CDI,CDI (TR),2021-02-10,2026-02-10,0.7034,0.1127,4.999315537303217,0d3e69f7d55cde28129f53cb7be32215,REL_IND_D0_CDI_5Y
v13b1,D0,5Y,IBOV,Ibovespa (TR),2021-02-10,2026-02-10,0.5699000000000001,0.0953,4.999315537303217,52dfb2afb60c5760e7b516db88d68867,REL_IND_D0_IBOV_5Y
v13b1,D0,5Y,SP500_PR,S&P 500 BRL (Price Return),2021-02-10,2026-02-10,0.7095999999999999,0.1136,4.999315537303217,caa3fffcdbd764985f80777c47f6d6bd,REL_IND_D0_SP500_PR_5Y
v13b1,D0,5Y,SP500_TR,S&P 500 BRL (Total Return),2021-02-10,2026-02-10,0.8393,0.1301,4.999315537303217,376da51be0c8d81d147708f9fe3123e4,REL_IND_D0_SP500_TR_5Y
v13b1,D0,10Y,PA,Portfólio A (TR),2016-02-10,2026-02-10,7.654500000000001,0.2444,10.00136892539357,f5b32381ac48d557d490551cf12bb114,REL_IND_D0_PA_10Y
v13b1,D0,10Y,PB,Portfólio B (TR),2016-02-10,2026-02-10,9.0966,0.264,10.00136892539357,ad526b56a4c0514658ea40c68777dfd3,REL_IND_D0_PB_10Y
v13b1,D0,10Y,PC,Portfólio C (TR),2016-02-10,2026-02-10,8.975900000000001,0.2625,10.00136892539357,06d7379ad8829de6d61ff04c71b16b1b,REL_IND_D0_PC_10Y
v13b1,D0,10Y,CDI,CDI (TR),2016-02-10,2026-02-10,1.4462,0.09380000000000001,10.00136892539357,85a1f4e0ee93b40ec1902e40bd59870b,REL_IND_D0_CDI_10Y
v13b1,D0,10Y,IBOV,Ibovespa (TR),2016-02-10,2026-02-10,3.6049,0.1674,10.00136892539357,617a48f47a414360a69b1ff67b636ebb,REL_IND_D0_IBOV_10Y
v13b1,D0,10Y,SP500_PR,S&P 500 BRL (Price Return),2016-02-10,2026-02-10,3.9478,0.1738,10.00136892539357,184364bc00ac4e173a652787ac5f98a4,REL_IND_D0_SP500_PR_10Y
v13b1,D0,10Y,SP500_TR,S&P 500 BRL (Total Return),2016-02-10,2026-02-10,4.8757,0.1941,10.00136892539357,c49af0b6efa367482391ecbfcf79b7d0,REL_IND_D0_SP500_TR_10Y
v13b1,D0,15Y,PA,Portfólio A (TR),2011-02-10,2026-02-10,4.8876,0.1276,15.00068446269678,03e2a96579e71062beebc4a09f5570a8,REL_IND_D0_PA_15Y
v13b1,D0,15Y,PB,Portfólio B (TR),2011-02-10,2026-02-10,6.277699999999999,0.1439,15.00068446269678,7ae63fe65b1dfb85f415c4cbc3b3df0a,REL_IND_D0_PB_15Y
v13b1,D0,15Y,PC,Portfólio C (TR),2011-02-10,2026-02-10,4.8131,0.1266,15.00068446269678,a25080422ffea70dc0b71e087a12adf8,REL_IND_D0_PC_15Y
v13b1,D0,15Y,CDI,CDI (TR),2011-02-10,2026-02-10,3.0191,0.0975,15.00068446269678,9127f769c1b62ea46bb4f37a8ae7c109,REL_IND_D0_CDI_15Y
v13b1,D0,15Y,IBOV,Ibovespa (TR),2011-02-10,2026-02-10,1.8792,0.0742,15.00068446269678,cbbeb5b027c3c616e1b0612bb205265a,REL_IND_D0_IBOV_15Y
v13b1,D0,15Y,SP500_PR,S&P 500 BRL (Price Return),2011-02-10,2026-02-10,15.3782,0.2054,15.00068446269678,4e122cccaeab6e4e7d2c8b946ebd5222,REL_IND_D0_SP500_PR_15Y
v13b1,D0,15Y,SP500_TR,S&P 500 BRL (Total Return),2011-02-10,2026-02-10,20.6433,0.228,15.00068446269678,30422235098e0a9881a0432d255f6863,REL_IND_D0_SP500_TR_15Y
v13b1,D0,20Y,PA,Portfólio A (TR),2006-02-10,2026-02-10,9.0937,0.1248,20.0,0c8ca63b4b3a9826c254545113d1f716,REL_IND_D0_PA_20Y
v13b1,D0,20Y,PB,Portfólio B (TR),2006-02-10,2026-02-10,13.83,0.1471,20.0,d101dec0ae146ce329baa8fe3080ed95,REL_IND_D0_PB_20Y
v13b1,D0,20Y,PC,Portfólio C (TR),2006-02-10,2026-02-10,9.7562,0.1285,20.0,86c1e6a5635c253dec4e9e0e718b7787,REL_IND_D0_PC_20Y
v13b1,D0,20Y,CDI,CDI (TR),2006-02-10,2026-02-10,5.9562,0.1022,20.0,3cac5345742a54c8417b139690191682,REL_IND_D0_CDI_20Y
v13b1,D0,20Y,IBOV,Ibovespa (TR),2006-02-10,2026-02-10,4.0285,0.08560000000000001,20.0,89e857dcb1841b55ad5a45af62c6718e,REL_IND_D0_IBOV_20Y
v13b1,D0,20Y,SP500_PR,S&P 500 BRL (Price Return),2006-02-10,2026-02-10,12.2107,0.138,20.0,d0fa261537795d6ddad2bee0e8607d47,REL_IND_D0_SP500_PR_20Y
v13b1,D0,20Y,SP500_TR,S&P 500 BRL (Total Return),2006-02-10,2026-02-10,18.404,0.1601,20.0,3b5268c34d62c89c85e40e90a4a9ca3a,REL_IND_D0_SP500_TR_20Y
