bundle_version,cut,window,PA__vol_ann,PA__sharpe_excess_cdi,PA__sortino_excess_cdi,PA__max_drawdown,PA__pct_neg_months,PA__worst_month,PA__best_month,PA__N_months,PA__report_id,PB__vol_ann,PB__sharpe_excess_cdi,PB__sortino_excess_cdi,PB__max_drawdown,PB__pct_neg_months,PB__worst_month,PB__best_month,PB__N_months,PB__report_id,PC__vol_ann,PC__sharpe_excess_cdi,PC__sortino_excess_cdi,PC__max_drawdown,PC__pct_neg_months,PC__worst_month,PC__best_month,PC__N_months,PC__report_id,CDI__vol_ann,CDI__sharpe_excess_cdi,CDI__sortino_excess_cdi,CDI__max_drawdown,CDI__pct_neg_months,CDI__worst_month,CDI__best_month,CDI__N_months,CDI__report_id,IBOV__vol_ann,IBOV__sharpe_excess_cdi,IBOV__sortino_excess_cdi,IBOV__max_drawdown,IBOV__pct_neg_months,IBOV__worst_month,IBOV__best_month,IBOV__N_months,IBOV__report_id,SP500_PR__vol_ann,SP500_PR__sharpe_excess_cdi,SP500_PR__sortino_excess_cdi,SP500_PR__max_drawdown,SP500_PR__pct_neg_months,SP500_PR__worst_month,SP500_PR__best_month,SP500_PR__N_months,SP500_PR__report_id,SP500_TR__vol_ann,SP500_TR__sharpe_excess_cdi,SP500_TR__sortino_excess_cdi,SP500_TR__max_drawdown,SP500_TR__pct_neg_months,SP500_TR__worst_month,SP500_TR__best_month,SP500_TR__N_months,SP500_TR__report_id
v13b1,D0,5Y,0.155646610448998,0.506528833137889,1.05714481168435,-0.0692999999999995,0.377049180327869,-0.0935,0.1364,61,REL_IND_D0_PA_5Y,0.173694931171736,0.547847390742065,0.939887001885561,-0.11345797,0.327868852459016,-0.0989,0.1296,61,REL_IND_D0_PB_5Y,0.183466577829118,0.480052908144273,0.877726170619261,-0.119064889925,0.39344262295082,-0.0909,0.1451,61,REL_IND_D0_PC_5Y,0.0101032927597968,0,0,0,0,0.0007,0.0128,61,REL_IND_D0_CDI_5Y,0.175715760417261,-0.0064379843794479,-0.0112507641632878,-0.222866868950372,0.39344262295082,-0.115,0.1256,61,REL_IND_D0_IBOV_5Y,0.156430698006141,0.0798454902800595,0.134296318643966,-0.271285746632132,0.459016393442623,-0.0905,0.1092,61,REL_IND_D0_SP500_PR_5Y,0.156627916193594,0.172358422341255,0.290519757423331,-0.262410630499552,0.459016393442623,-0.0897,0.1101,61,REL_IND_D0_SP500_TR_5Y
v13b1,D0,10Y,0.22733440566707,0.670696434478937,1.03897288492754,-0.335548711168,0.347107438016529,-0.2522,0.2442,121,REL_IND_D0_PA_10Y,0.220883087732585,0.756451258012857,1.06281514985458,-0.31232492,0.338842975206611,-0.2631,0.1944,121,REL_IND_D0_PB_10Y,0.281800722391721,0.641422742655922,0.93695174112055,-0.37371366595,0.413223140495868,-0.3066,0.2955,121,REL_IND_D0_PC_10Y,0.01137912834902,0,0,0,0,0.0013,0.0128,121,REL_IND_D0_CDI_10Y,0.217009397519025,0.403899313559518,0.534394208101865,-0.36855736291,0.363636363636364,-0.299,0.1697,121,REL_IND_D0_IBOV_10Y,0.173053073977965,0.484947805063073,0.785708137537983,-0.271285746632132,0.388429752066116,-0.1359,0.1763,121,REL_IND_D0_SP500_PR_10Y,0.173595817921976,0.582306330099391,0.949246097443493,-0.262410630499553,0.380165289256198,-0.1349,0.1777,121,REL_IND_D0_SP500_TR_10Y
v13b1,D0,15Y,0.189557628763571,0.228619490873897,0.350465205241842,-0.332422850510894,0.397790055248619,-0.233,0.1697,181,REL_IND_D0_PA_15Y,0.210958482592031,0.294943040527559,0.414609765667857,-0.31693412,0.403314917127072,-0.2748,0.1808,181,REL_IND_D0_PB_15Y,0.237242383581052,0.223832907622005,0.329310948210745,-0.426137208786072,0.425414364640884,-0.328,0.1969,181,REL_IND_D0_PC_15Y,0.0100740667737909,0,0,0,0,0.0013,0.0128,181,REL_IND_D0_CDI_15Y,0.210925792542032,0.001507329275422,0.0021960456040977,-0.410951345679927,0.43646408839779,-0.299,0.1697,181,REL_IND_D0_IBOV_15Y,0.165699297148499,0.642143725273894,1.1054808050268,-0.271285746632132,0.370165745856354,-0.1359,0.1763,181,REL_IND_D0_SP500_PR_15Y,0.166298343629522,0.752281992157035,1.30384436135134,-0.262410630499552,0.359116022099447,-0.1349,0.1777,181,REL_IND_D0_SP500_TR_15Y
v13b1,D0,20Y,0.185547645501196,0.19396466444176,0.270033079848893,-0.393747758724512,0.390041493775934,-0.2308,0.1631,241,REL_IND_D0_PA_20Y,0.213734488554165,0.287123396566805,0.37132865444677,-0.470888185183596,0.390041493775934,-0.2772,0.181,241,REL_IND_D0_PB_20Y,0.240187165564846,0.213504052921222,0.298893729152084,-0.519131440602921,0.431535269709544,-0.3173,0.1972,241,REL_IND_D0_PC_20Y,0.0094364882876692,0,0,0,0,0.0013,0.0142,241,REL_IND_D0_CDI_20Y,0.218070408583065,0.0364255048084581,0.051802282278103,-0.495895249202771,0.423236514522822,-0.299,0.1697,241,REL_IND_D0_IBOV_20Y,0.164746649491491,0.273545946715223,0.448299388722335,-0.427832941910888,0.398340248962656,-0.1359,0.1763,241,REL_IND_D0_SP500_PR_20Y,0.165179586890485,0.389166841804798,0.647177297458242,-0.400341361063776,0.385892116182573,-0.1349,0.1777,241,REL_IND_D0_SP500_TR_20Y
v13b1,D0,25Y,0.21442462214198,0.320301126134843,0.47881696523155,-0.442190982749728,0.418604651162791,-0.2482,0.2114,301,REL_IND_D0_PA_25Y,0.225728287285983,0.305739826619936,0.428385413597752,-0.524781757656864,0.385382059800664,-0.2744,0.2084,301,REL_IND_D0_PB_25Y,0.25395953615485,0.313622571045456,0.457633489882216,-0.557792148309717,0.411960132890365,-0.3263,0.213,301,REL_IND_D0_PC_25Y,0.0128377624032225,0,0,0,0,0.0013,0.0208,301,REL_IND_D0_CDI_25Y,0.232475627066724,0.0464448534603414,0.0676744772285096,-0.495895249202771,0.428571428571428,-0.299,0.1792,301,REL_IND_D0_IBOV_25Y,0.167069584937821,0.0350582033560992,0.0581766637618942,-0.506781943341605,0.421926910299003,-0.1359,0.1763,301,REL_IND_D0_SP500_PR_25Y,0.167502435378735,0.146321530563432,0.246940967066857,-0.458222965546443,0.411960132890365,-0.1349,0.1777,301,REL_IND_D0_SP500_TR_25Y
v13b1,D6M,5Y,0.173558962249286,0.411424628328135,1.02516360694456,-0.1075193,0.426229508196721,-0.0713,0.1801,61,REL_IND_D6M_PA_5Y,0.183163658611815,0.287723147045058,0.59163907455747,-0.128336740000001,0.39344262295082,-0.0882,0.1735,61,REL_IND_D6M_PB_5Y,0.212550024970015,0.430810459315879,0.969833652015127,-0.170073875481246,0.475409836065574,-0.1006,0.1939,61,REL_IND_D6M_PC_5Y,0.0118700504784375,0,0,0,0,0.0011,0.0128,61,REL_IND_D6M_CDI_5Y,0.182719703819633,-0.126090673174023,-0.244068426807397,-0.222866868950372,0.459016393442623,-0.115,0.159,61,REL_IND_D6M_IBOV_5Y,0.157169273057562,0.296993152751556,0.496441742804036,-0.271285746632132,0.426229508196721,-0.0905,0.1092,61,REL_IND_D6M_SP500_PR_5Y,0.157398773299113,0.391161269871925,0.654864348507965,-0.262410630499552,0.426229508196721,-0.0897,0.1101,61,REL_IND_D6M_SP500_TR_5Y
v13b1,D6M,10Y,0.218069330623721,0.371586301516379,0.585278979588319,-0.32472335824,0.396694214876033,-0.2459,0.2179,121,REL_IND_D6M_PA_10Y,0.216988937448909,0.482847855246395,0.671456096788545,-0.31722016,0.380165289256198,-0.2724,0.1598,121,REL_IND_D6M_PB_10Y,0.297776139945196,0.403862221909249,0.601612661824392,-0.3829542655,0.421487603305785,-0.3162,0.2714,121,REL_IND_D6M_PC_10Y,0.0111868333173164,0,0,0,0,0.0013,0.0128,121,REL_IND_D6M_CDI_10Y,0.216575749197586,0.167789830562422,0.231182842004919,-0.36855736291,0.40495867768595,-0.299,0.1697,121,REL_IND_D6M_IBOV_10Y,0.173779853324508,0.460154901569753,0.762505946060882,-0.271285746632132,0.40495867768595,-0.1359,0.1763,121,REL_IND_D6M_SP500_PR_10Y,0.174292366086507,0.560342410490765,0.932591811549299,-0.262410630499552,0.388429752066116,-0.1349,0.1777,121,REL_IND_D6M_SP500_TR_10Y
v13b1,D6M,15Y,0.183405456919887,0.16678040426834,0.256207883565,-0.318107791685524,0.386740331491713,-0.2247,0.1629,181,REL_IND_D6M_PA_15Y,0.208650647635582,0.214537978510803,0.298839973338525,-0.31720942,0.419889502762431,-0.2754,0.1856,181,REL_IND_D6M_PB_15Y,0.228234522497515,0.189712897070992,0.278383732998976,-0.3884449,0.453038674033149,-0.327,0.1821,181,REL_IND_D6M_PC_15Y,0.0097343306585592,0,0,0,0,0.0013,0.0128,181,REL_IND_D6M_CDI_15Y,0.208834829691029,-0.106841211313414,-0.156868076202421,-0.428365968568547,0.453038674033149,-0.299,0.1697,181,REL_IND_D6M_IBOV_15Y,0.166679554558797,0.676687605923377,1.14980452761115,-0.271285746632132,0.359116022099447,-0.1359,0.1763,181,REL_IND_D6M_SP500_PR_15Y,0.16725443222111,0.788039067301888,1.35132701659094,-0.262410630499552,0.348066298342541,-0.1349,0.1777,181,REL_IND_D6M_SP500_TR_15Y
v13b1,D6M,20Y,0.194609318370628,0.210268433032129,0.298944299234571,-0.396832968913325,0.398340248962656,-0.2379,0.1674,241,REL_IND_D6M_PA_20Y,0.222214293716561,0.288727739068346,0.376636288197907,-0.475315534833169,0.381742738589212,-0.2787,0.1777,241,REL_IND_D6M_PB_20Y,0.251127710314825,0.239208957754975,0.349279199251574,-0.506283586158334,0.439834024896265,-0.3176,0.2283,241,REL_IND_D6M_PC_20Y,0.0097782443332463,0,0,0,0,0.0013,0.015,241,REL_IND_D6M_CDI_20Y,0.220182681066186,0.0336541581450987,0.048476967420028,-0.495895249202772,0.427385892116182,-0.299,0.1697,241,REL_IND_D6M_IBOV_20Y,0.165905907142863,0.248476323464082,0.4106645016363,-0.427832941910888,0.402489626556017,-0.1359,0.1763,241,REL_IND_D6M_SP500_PR_20Y,0.166344484809554,0.364189656304444,0.613329993228593,-0.400341361063776,0.390041493775934,-0.1349,0.1777,241,REL_IND_D6M_SP500_TR_20Y
v13b1,D6M,25Y,0.215957040590787,0.30612364504448,0.467249868748574,-0.43664364440092,0.421926910299003,-0.2467,0.217,301,REL_IND_D6M_PA_25Y,0.226016622991404,0.273096350878186,0.38671132179559,-0.524975067755848,0.398671096345515,-0.2736,0.2078,301,REL_IND_D6M_PB_25Y,0.259548983837918,0.295489645949573,0.44216869723602,-0.553469595875151,0.425249169435216,-0.3244,0.2304,301,REL_IND_D6M_PC_25Y,0.012836658780145,0,0,0,0,0.0013,0.0208,301,REL_IND_D6M_CDI_25Y,0.237296061957627,-0.0028072116958647,-0.0041554128438541,-0.512065325837031,0.438538205980066,-0.299,0.1792,301,REL_IND_D6M_IBOV_25Y,0.168245382447633,0.0265836719527858,0.0441899680923656,-0.506781943341606,0.418604651162791,-0.1359,0.1763,301,REL_IND_D6M_SP500_PR_25Y,0.168671971767098,0.136913105226182,0.231588977951291,-0.458222965546443,0.408637873754153,-0.1349,0.1777,301,REL_IND_D6M_SP500_TR_25Y
