window,series,start_date_D0,end_date_D0,start_date_D6M,end_date_D6M,start_date_D12M,end_date_D12M,rank_cagr_D0,rank_cagr_D12M,rank_cagr_D6M,rank_total_return_D0,rank_total_return_D12M,rank_total_return_D6M
10Y,PA,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,3.0,3.0,3.0,3.0,3.0,3.0
10Y,PB,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,1.0,1.0,1.0,1.0,1.0,1.0
10Y,PC,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,2.0,2.0,2.0,2.0,2.0,2.0
15Y,PA,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,2.0,3.0,3.0,2.0,3.0,3.0
15Y,PB,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,1.0,2.0,1.0,1.0,2.0,1.0
15Y,PC,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,3.0,1.0,2.0,3.0,1.0,2.0
20Y,PA,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,3.0,3.0,3.0,3.0,3.0,3.0
20Y,PB,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,1.0,1.0,1.0,1.0,1.0,1.0
20Y,PC,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,2.0,2.0,2.0,2.0,2.0,2.0
25Y,PA,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,2.0,2.0,1.0,2.0,2.0,1.0
25Y,PB,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,3.0,3.0,3.0,3.0,3.0,3.0
25Y,PC,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,1.0,1.0,2.0,1.0,1.0,2.0
5Y,PA,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,3.0,2.0,2.0,3.0,2.0,2.0
5Y,PB,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,1.0,3.0,3.0,1.0,3.0,3.0
5Y,PC,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,2.0,1.0,1.0,2.0,1.0,1.0
