window,series,start_date_D0,end_date_D0,start_date_D6M,end_date_D6M,start_date_D12M,end_date_D12M,vol_ann_%_D0,vol_ann_%_D6M,vol_ann_%_D12M,vol_ann_%_range,vol_ann_%_delta_D0_minus_D6M,vol_ann_%_delta_D0_minus_D12M,max_drawdown_%_D0,max_drawdown_%_D6M,max_drawdown_%_D12M,max_drawdown_%_range,max_drawdown_%_delta_D0_minus_D6M,max_drawdown_%_delta_D0_minus_D12M,pct_neg_months_%_D0,pct_neg_months_%_D6M,pct_neg_months_%_D12M,pct_neg_months_%_range,pct_neg_months_%_delta_D0_minus_D6M,pct_neg_months_%_delta_D0_minus_D12M,worst_month_%_D0,worst_month_%_D6M,worst_month_%_D12M,worst_month_%_range,worst_month_%_delta_D0_minus_D6M,worst_month_%_delta_D0_minus_D12M,sharpe_excess_cdi_D0,sharpe_excess_cdi_D6M,sharpe_excess_cdi_D12M,sharpe_excess_cdi_range,sharpe_excess_cdi_delta_D0_minus_D6M,sharpe_excess_cdi_delta_D0_minus_D12M,sortino_excess_cdi_D0,sortino_excess_cdi_D6M,sortino_excess_cdi_D12M,sortino_excess_cdi_range,sortino_excess_cdi_delta_D0_minus_D6M,sortino_excess_cdi_delta_D0_minus_D12M
10Y,CDI,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,1.14,1.12,1.11,0.0299999999999998,0.0199999999999997,0.0299999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10Y,IBOV,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,21.7,21.66,22.03,0.370000000000001,0.0399999999999991,-0.3300000000000018,-36.86,-36.86,-36.86,0.0,0.0,0.0,36.36,40.5,42.15,5.789999999999999,-4.140000000000001,-5.789999999999999,-29.9,-29.9,-29.9,0.0,0.0,0.0,0.4039,0.1678,0.1428,0.2611,0.2360999999999999,0.2611,0.5344,0.2312,0.2,0.3344,0.3032,0.3344
10Y,PA,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,22.73,21.81,22.67,0.9200000000000016,0.9200000000000016,0.0599999999999987,-33.55,-32.47,-34.66,2.1899999999999977,-1.0799999999999983,1.1099999999999994,34.71,39.67,39.67,4.960000000000001,-4.960000000000001,-4.960000000000001,-25.22,-24.59,-25.16,0.629999999999999,-0.629999999999999,-0.0599999999999987,0.6707,0.3716,0.3898,0.2991,0.2991,0.2809,1.039,0.5853,0.6177,0.4536999999999999,0.4536999999999999,0.4212999999999999
10Y,PB,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,22.09,21.7,22.33,0.629999999999999,0.3900000000000005,-0.2399999999999984,-31.23,-31.72,-32.18,0.9499999999999992,0.4899999999999984,0.9499999999999992,33.88,38.02,39.67,5.789999999999999,-4.140000000000001,-5.789999999999999,-26.31,-27.24,-27.74,1.4299999999999995,0.9299999999999996,1.4299999999999995,0.7565,0.4828,0.4722,0.2842999999999999,0.2736999999999999,0.2842999999999999,1.0628,0.6715,0.6791,0.3913,0.3913,0.3836999999999999
10Y,PC,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,28.18,29.78,30.05,1.870000000000001,-1.6000000000000014,-1.870000000000001,-37.37,-38.3,-41.39,4.020000000000003,0.9299999999999996,4.020000000000003,41.32,42.15,42.98,1.6599999999999966,-0.8299999999999983,-1.6599999999999966,-30.66,-31.62,-31.87,1.2100000000000009,0.9600000000000009,1.2100000000000009,0.6414,0.4039,0.413,0.2375,0.2375,0.2284,0.937,0.6016,0.627,0.3354,0.3354,0.31
10Y,SP500_PR,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,17.31,17.38,17.74,0.4299999999999997,-0.0700000000000002,-0.4299999999999997,-27.13,-27.13,-27.13,0.0,0.0,0.0,38.84,40.5,38.84,1.6599999999999966,-1.6599999999999966,0.0,-13.59,-13.59,-13.59,0.0,0.0,0.0,0.4849,0.4602,0.5959,0.1357,0.0247,-0.1109999999999999,0.7857,0.7625,0.9896,0.2271,0.0232,-0.2039
10Y,SP500_TR,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,17.36,17.43,17.79,0.4299999999999997,-0.0700000000000002,-0.4299999999999997,-26.24,-26.24,-26.24,0.0,0.0,0.0,38.02,38.84,37.19,1.6500000000000057,-0.8200000000000003,0.8300000000000054,-13.49,-13.49,-13.49,0.0,0.0,0.0,0.5823,0.5603,0.6961,0.1358,0.022,-0.1138,0.9492,0.9326,1.1602,0.2275999999999999,0.0166,-0.2109999999999998
15Y,CDI,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,1.01,0.97,0.96,0.05,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15Y,IBOV,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,21.09,20.88,21.12,0.240000000000002,0.2100000000000008,-0.0300000000000011,-41.1,-42.84,-42.84,1.740000000000002,1.740000000000002,1.740000000000002,43.65,45.3,46.41,2.759999999999998,-1.6499999999999986,-2.759999999999998,-29.9,-29.9,-29.9,0.0,0.0,0.0,0.0015,-0.1068,-0.1113,0.1128,0.1083,0.1128,0.0022,-0.1569,-0.1659,0.1681,0.1591,0.1681
15Y,PA,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,18.96,18.34,18.21,0.75,0.620000000000001,0.75,-33.24,-31.81,-30.35,2.890000000000001,-1.4300000000000033,-2.890000000000001,39.78,38.67,38.67,1.1099999999999994,1.1099999999999994,1.1099999999999994,-23.3,-22.47,-22.17,1.129999999999999,-0.8300000000000018,-1.129999999999999,0.2286,0.1668,0.1564,0.0721999999999999,0.0617999999999999,0.0721999999999999,0.3505,0.2562,0.2428,0.1076999999999999,0.0943,0.1076999999999999
